LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
Agrarprodukte GmbH Zilly|K_AgriLivestock|10491|1|10,8203650119031|51,9500691412269||||0,0522||||||||||
Agrarprodukte Kitzen e.G.|K_AgriLivestock|14-83-53766310001|1|12,2682530448206|51,2127822071687||||0,021||||||||||
Agrarprodukte Löbnitz GmbH, SZA Löbnitz|K_AgriLivestock|14-82-55797380000|1|12,4616660922533|51,5856982895908||||0,0134||||||||||
"Agrarproduktion ""Elsteraue"" GmbH & Co. KG"|K_AgriLivestock|14-83-53769260000|1|12,3392249901695|51,1916540418289||||0,0152||||||||||
Agraset- Agrargenossenschaft eG. Naundorf|K_AgriLivestock|14-65-60309310000|1|12,9062645104613|51,0170310218161||||0,0142||||||||||
Agrofarm Herwigsdorf e. G. (009)|K_AgriLivestock|14-75-45516080000|1|14,7371797811072|51,0755748091302||||0,0182||||||||||
Agrofarm Herwigsdorf e. G. (091)|K_AgriLivestock|14-75-45516080006|1|14,7497466999618|51,0586876544914||||0,0182||||||||||
Agrö Frankenthal GmbH|K_AgriLivestock|14-74-47171950000|1|14,1119949814599|51,1323430380803||||0,0151||||||||||
Ahrens, Christoph|K_AgriLivestock|03-85-45300968310|1|7,92151082911616|52,7728167014593||||0,0101||||||||||
Airbus Operations GmbH|E_Solvents|06-02-B2D350A001|1|9,83711552856172|53,5416201423109||0,215||||||||||||
Albersmeier, Klaus|K_AgriLivestock|06-05-974-9139489|1|8,1421689046453|51,6195376362369||||0,0152||||||||||
Aleris Casthouse Germany GmbH|B_Industry|07-01-706993|2|7,59079064218285|50,389853504196|0,12|||||||||||||
Almatis GmbH|B_Industry|07-05-8386956|2|8,43557434886466|49,4514642151713|0,353|||||||||||||
Altenau, Hubertus|K_AgriLivestock|06-05-570-0341739|1|7,74713128586563|51,8163618230332||||0,0131||||||||||
Althoetmar, Klaus|K_AgriLivestock|06-05-570-0988676|1|7,96251749214374|51,8724894879348||||0,011||||||||||
Aluminium Norf GmbH|B_Industry|06-05-100-0173542|2|6,7697156550606|51,1504897264694|0,239|||||||||||||
Aluminium Oxid Stade GmbH|B_Industry|03-03-03267770260|1|9,49793644325882|53,6442938587031|0,153|||||||||||||
Andreas Haneke|K_AgriLivestock|06-05-762-0221111|1|9,29769760834869|51,8396970320276||||0,0106||||||||||
Andreas Rohlfs|K_AgriLivestock|06-05-770-0544763|1|8,41808467468846|52,3984252019865||||0,0272||||||||||
Ansgar gr. Austing|K_AgriLivestock|03-65-25102282440|1|8,38561765315627|52,5305903309485||||0,0135||||||||||
ArcelorMittal Bremen GmbH|B_Industry|06-04-11/2005382/5/0|5|8,6867284642385|53,1249394295311|1,43||2,91|||0,354|58,2||||0,69|||
ArcelorMittal Bremen GmbH / BREMA Walzwerk GmbH|B_Industry|06-04-11/2005384/0/0|5|8,6867284642385|53,1249394295311|0,587|||||||||||||
ArcelorMittal Bremen GmbH / Kraftwerk Mittelsbüren|A_PublicPower|06-04-11/2001178/8/2|5|8,68614797551713|53,1287223856765|||0,404|||||||||||
ArcelorMittal Bremen GmbH Kokerei Prosper|B_Industry|06-05-500-1185268|5|6,97327222572499|51,5182315727857|0,58||0,776||||1,2|||||0,336||
ArcelorMittal Eisenhüttenstadt GmbH|B_Industry|12-30670480000|5|14,6176822369296|52,1661405222489|1,34||1,01|||0,427|37,4|6,98|0,0229|0,053399999999999996|1,06|||
ArcelorMittal Hamburg GmbH|B_Industry|06-02-B2C001A009|5|9,8983966823358|53,5229548736256||||||||0,27|0,0132|0,0123||||
ArcelorMittal Hochfeld GmbH Werk Ruhrort|B_Industry|06-05-100-9973329|5|6,74917290245173|51,4608318042529|0,107|||||0,0511||1,08|||0,157|||
Ardagh Glass GmbH|B_Industry|12-30642590000|2|13,713597390403|52,5368640783818|0,113|||||||||||||
Ardagh Glass GmbH|B_Industry|12-40710460000|2|14,2294000941078|51,6494105835544|0,104|||||||||||||
Ardagh Glass GmbH|B_Industry|03-06-06254419490|2|9,2147085920828|52,6603051817251|0,439|||||||||||||
Ardagh Glass GmbH|B_Industry|03-07-07236240800|2|9,14072748387425|52,2643773078889|0,118|||||||||||||
Ardagh Glass GmbH|B_Industry|06-05-900-0854833|2|7,51406274405867|51,6254161090618|0,127|||||||||||||
Ardagh Glass GmbH|B_Industry|07-05-8173869|2|8,37490697864555|49,2331095283481|0,469||0,229|||||||||||
Ardagh Glass GmbH|B_Industry|01-30-60092340337|2|10,1942520893852|53,9461160904184|0,141|||||||||||||
Ardagh Metal Beverage Germany GmbH|E_Solvents|07-01-496531|1|7,45044393216315|50,4196463787474||0,132||||||||||||
Arendsee Agrar GmbH & Co. KG|K_AgriLivestock|12-20731040000|1|13,6018735194855|53,3346692693223||||0,0218||||||||||
Arenhövel, Heinrich|K_AgriLivestock|06-05-570-0303698|1|8,04370147712851|51,9717498109342||||0,0102||||||||||
Arnold Husemann - Breitenbach|K_AgriLivestock|12473|1|11,1180379564373|51,5386149252719||||0,0231||||||||||
Asbreuk GmbH|K_AgriLivestock|06-05-554-0131797|1|6,92045597345922|52,1721026749391||||0,0153||||||||||
Aurubis AG|B_Industry|06-02-B2C100A009|2|10,0349698471196|53,5179853319104|0,213||1,83||||1,29|1,64|0,062|0,019|0,207|||
Aurubis AG|B_Industry|06-05-900-0877505|2|7,50803445438935|51,6065908206216|0,26||0,763|||||1,38|0,02|0,045||||
Austing gr. Franz|K_AgriLivestock|03-92-46000020559|1|8,25944888035048|52,5311358474553||||0,0127||||||||||
Austing, gr. Josef|K_AgriLivestock|03-92-46000205650|1|8,25979086562859|52,533592348695||||0,0156||||||||||
Austing, gr. Werner|K_AgriLivestock|03-92-46000205720|1|8,24033880565884|52,5185810772594||||0,0124||||||||||
Averkamp KG|K_AgriLivestock|12-30641037000|1|14,3668100595594|52,6031323025338||||0,0144||||||||||
Avimex Sachsen GmbH Großelterntierhaltung Radefeld 2|K_AgriLivestock|14-82-54285700000|1|12,3046399223905|51,4335341001697||||0,0182||||||||||
B+S Papenburg Energie GmbH|J_Waste|03-04-04041505980|3|7,39776960254192|53,0995110270963||||||||||||||
B+T Energie GmbH EBS-Kraftwerk Witzenhausen|J_Waste|06-84800460636|2|9,84919743169047|51,3180987716012||||||||||||||
B.E.S. Brandenburger Elektrostahlwerke GmbH B.E.S. Brandenburger Elektrostahlwerke GmbH|B_Industry|12-60510400000|5|12,4988856602742|52,4019501911493|0,399||0,253||||||||0,49299999999999994|||
BASF Agricultural Solutions GmbH|B_Industry|06-05-300-0012607|1|6,86562795155585|50,8616368444693||||||||||||||
BASF Lampertheim GmbH|B_Industry|06-00000560431|1|8,44012851164917|49,6183317606243||||||||||||||
BASF Personal Care and Nutrition GmbH|B_Industry|06-05-100-9350370|1|6,83938548793689|51,1755500933699|0,255|||||||||||||
BASF SE|B_Industry|06-08-2921707|1|8,44600685669085|49,5247152974354||||||||||||||
BASF SE|B_Industry|07-05-8290552|1|8,42344564701332|49,5173911862856|4,17|0,533|0,425|0,303||0,0978|0,825|||0,051||||
BASF Schwarzheide GmbH|B_Industry|12-40669070000|1|13,8869788480767|51,4803390727399|0,462|||||||||||||
BAYERNOIL Betriebsteil Neustadt|B_Industry|06-09-273-0310-0001|4|11,757976611622|48,784993229719|0,565|0,164|1,81|||||||||||
BAYERNOIL Betriebsteil Vohburg|B_Industry|06-09-186-0202-0001|4|11,5988557118451|48,765795692349|0,317|0,254|1,58|||||||||||
BGA Traunecker, E. u. W. GbR.|K_AgriLivestock|06-08-8926182|1|9,54580418000761|47,781630043118||||0,0505||||||||||
BJB Evers GbR Bernhard u. Jan-Bernd Evers|K_AgriLivestock|03-92-46000015060|1|8,20965238931048|52,7245620957946||||0,0149||||||||||
BKF - Biomasse-Kraftwerk Fechenheim GmbH|J_Waste|06-00974010412|3|8,76211082876905|50,129424835628|0,113|||||||||||||
BLF Schweineaufzucht GmbH|K_AgriLivestock|13-30-1070117|1|11,9072560477527|53,9046096029863||||0,0102||||||||||
BMHKW Malchin|J_Waste|13-50-1044|2|12,7823306915412|53,7418929511967|0,103|||||||||||||
BMW Group Werk 02.40, Dingolfing|E_Solvents|06-09-279-0013-0001|1|12,4711181306796|48,6466739145721|0,119|0,357||||||||||||
BMW Werk 6.1 Regensburg|E_Solvents|06-09-362-0100-0001|1|12,1662131207489|48,9763065374086|0,111|0,285||||||||||||
BP Europa SE BP Lingen|B_Industry|03-10-10257401440|4|7,31181464088802|52,5618542808937|0,937|0,4|0,932|||||||||||
BREDO Dockgesellschaft mbH|E_Solvents|03-03-03267676490|1|8,71311473307838|53,8627007153186||||||||||||||
BSR / Deponie Schöneicher Plan|J_Waste|12-50725490000|1|13,5282890495893|52,2394725020648||||||||||||||
BSR / MHKW|J_Waste|06-11-01-1102201|2|13,2379154933709|52,5290382462859|0,187|||||||||||||
BUDISSA Agrar GmbH Kubschütz|K_AgriLivestock|14-74-45518790001|1|14,5669263440403|51,16291454595||||0,0102||||||||||
BWE - Brüterei Weser Ems GmbH & Co. KG|K_AgriLivestock|06-05-754-0119851|1|8,29089528552977|52,0010376078298||||0,0121||||||||||
BWE Brüterei Weser-Ems GmbH & Co. KG Farm Ehrenburg|K_AgriLivestock|03-65-25104671112|1|8,66986897895922|52,7381263949798||||0,0396||||||||||
BWE Brüterei Weser-Ems GmbH & Co.KG Farm Holte|K_AgriLivestock|03-92-46000103320|1|8,36869830201116|52,8462588017465||||0,0346||||||||||
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Eschenhausen|K_AgriLivestock|03-65-25100765440|1|8,78058144610856|52,8477433429327||||0,0388||||||||||
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Martfeld|K_AgriLivestock|03-65-25102670860|1|9,04102849330914|52,8810298433361||||0,0348||||||||||
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Rehden|K_AgriLivestock|03-65-25103071420|1|8,5222914865442|52,6157373260733||||0,0378||||||||||
BWE-Brüterei Weser-Ems GmbH & Co. KG Farm Wetschen|K_AgriLivestock|03-65-25104678220|1|8,45627247676436|52,622590864201||||0,0361||||||||||
BWE-Brüterei Weser-Ems GmbH & Co.KG Hogenbögen|K_AgriLivestock|03-92-46000102276|1|8,35191182653763|52,8378078223369||||0,0174||||||||||
Badische Stahlwerke GmbH|B_Industry|06-08-3828859|5|7,82214541961069|48,599569851898|0,104||||||4,0|||0,144|0,467|||1,81
Ballenstedt AGAR KG|K_AgriLivestock|12899|1|11,2413880855731|51,7426867908258||||0,0139||||||||||
Basell Polyolefine GmbH|B_Industry|06-09-186-0211-0001|1|11,7086264329288|48,758551728254|0,44|0,105|0,164|||||||||||
Basell Polyolefine GmbH Werk Wesseling|B_Industry|06-05-300-0215520|1|6,94406667956143|50,83268204406|0,879|0,343||0,0119||||||||||
Bauherrengemeinschaft Stresow GbR|K_AgriLivestock|18008|1|12,0359281611024|52,2617692165295||||0,0496||||||||||
Bayer AG|B_Industry|06-05-900-0058251|1|7,63347552354609|51,626660007319||||||||||||||
Bayer AG, Crop Science Division|B_Industry|06-05-300-4044362|1|6,86550715329469|50,8599257783314||||||||||||||
Bayerische Motoren Werke Aktiengesellschaft Werk Leipzig|E_Solvents|14-80-56176820000|1|12,4440057042028|51,4068430032892||0,173||||||||||||
Befesa Salzschlacke GmbH|J_Waste|03-06-06060517550|3|9,71752112018994|52,4178007021282||||0,055||||||||||
Befesa Salzschlacke GmbH|J_Waste|06-05-900-0349236|3|7,46863379762951|51,6191671584061||||||||||||||
Behrens, Heinz|K_AgriLivestock|03-85-45300826730|1|8,06327581627625|52,9649763318212||||0,0182||||||||||
Behrens, Wolfgang|K_AgriLivestock|03-85-45300511110|1|8,11994060797261|52,8235400943864||||0,0186||||||||||
Beketaler Schweinemast GmbH & Co. KG|K_AgriLivestock|13-30-826|1|11,8371189840412|53,9029696614224||||0,0111||||||||||
Belmont Farms GmbH|K_AgriLivestock|12-30640600000|1|14,1465946636885|52,5214664783767||||0,0309||||||||||
Benteler Steel/Tube GmbH|B_Industry|03-10-10257605710|5|7,31699746042423|52,4676466402918||||||||||0,020399999999999998||||
Bernhard Wiest|K_AgriLivestock|06-08-50930386|1|9,95730500508395|48,1558082618276||||0,021||||||||||
Berzelius Stolberg GmbH|B_Industry|06-05-300-0875270|2|6,24087279396776|50,755173490409|||0,207|||||||||||
"Betreibergemeinschaft ""DANISAL"""|K_AgriLivestock|16147|1|11,9232676641314|51,2717073603841||||0,085||||||||||
Betriebsgemeinschaft Franz Kratzer & Martin Rauch|K_AgriLivestock|06-09-772-1099-0001|1|10,7862648521067|48,574725118584||||0,0104||||||||||
Beuckmann, Hildegard|K_AgriLivestock|06-05-558-0064291|1|7,6739236236987|51,792135339374||||0,0125||||||||||
Biomasse Heizkraftwerk Siegerland GmbH & Co. KG|J_Waste|07-01-690093|3|8,0731821024339|50,7024165783518|0,128|||||||||||||
Biomasseheizkraftwerk Zolling GmbH|A_PublicPower|06-09-100-8015-0001|5|11,7999254503205|48,4561909578859||||||||||||||
Biomassekraftwerk Bischofferode/Holungen|A_PublicPower|16-77-11033000000|5|10,4129671721628|51,4900753707236|0,108|||||||||||||
Biomassekraftwerk Lünen GmbH|J_Waste|06-05-900-9139128|3|7,46910405320136|51,6219339204941|0,138|||||||||||||
Birkenhäger, Martin|K_AgriLivestock|06-05-766-9972680|1|8,84595292974752|52,095047991235||||0,0101||||||||||
Bischof + Klein SE & Co. KG|E_Solvents|06-09-278-0065-0001|1|12,7237156182464|49,0794634647683||0,259||||||||||||
Bischof + Klein SE & Co. KG|E_Solvents|06-05-566-0106131|1|7,85941624890976|52,1794169723729||0,444||||||||||||
Blue Cube Germany Assets GmbH & Co. KG|B_Industry|03-03-03030110310|1|9,49786657977606|53,6383617005606||||||||||||||
Bodenkamp van Bebber Veredelung GmbH & Co. KG|K_AgriLivestock|03-88-45602025310|1|7,28005556328764|52,3165633519159||||0,0169||||||||||
Boehringer Ingelheim Pharma GmbH & Co. KG|B_Industry|07-04-6100969|1|8,04413726792574|49,9756034102754||||||||||||||
Bosch Rexroth AG - Rexroth Guss|B_Industry|06-09-677-0039-0001|2|9,57674610138446|49,9971842171603||||||||||||||
Braunschweiger Versorgungs AG & Co. KG, Heizkraftwerk Mitte|A_PublicPower|03-01-01010157480|5|10,514704815737|52,2779689900758|0,55||0,178|||||||||||
Brimmers, Josef|K_AgriLivestock|06-05-154-9983103|1|6,37032159147882|51,4448841941383||||0,0164||||||||||
Bring Bau KG|K_AgriLivestock|01-40-54016048532|1|8,85895861481288|54,8135330230373||||0,0264||||||||||
Broiler Geflügelerzeuger GmbH Gr. Hesepe & Co. KG|K_AgriLivestock|03-86-45401415870|1|7,23134819369925|52,6095104385919||||0,0121||||||||||
Broiler Geflügelerzeuger GmbH Twist & Co. KG|K_AgriLivestock|03-86-45403550220|1|7,20083576854518|52,7325705596966||||0,0132||||||||||
Broiler Geflügelerzeuger GmbH. Wietmarschen & Co.KG|K_AgriLivestock|03-53-45403289850|1|7,22406717824927|52,5415808274591||||0,0102||||||||||
Broilermastanlage Parchim|K_AgriLivestock|13-40-4170|1|11,8735495792061|53,4424796564871||||0,0163||||||||||
Broilermastanlage Vetschau|K_AgriLivestock|12-40660290000|1|14,1058751786006|51,7682769957405||||0,0116||||||||||
Bruns Geflügel KG|K_AgriLivestock|03-90-45800328490|1|8,37296960172055|52,99795557446||||0,0371||||||||||
Bruns Vieh Import/Export|K_AgriLivestock|03-88-45601238270|1|6,73554774098926|52,6267653833998||||0,0133||||||||||
Brökelmann + Co Oelmühle GmbH + Co|B_Industry|06-05-915-0041402|1|7,78319729004987|51,6783924395578||0,179||||||||||||
Brösterhaus, Norbert|K_AgriLivestock|06-05-554-0212563|1|6,91429973890862|51,8217489492948||||0,0112||||||||||
Brüterei Süd - Farm Kaulhausen|K_AgriLivestock|06-09-375-0016-0003|1|12,0270592613646|49,0848534816876||||0,0417||||||||||
Brüterei Süd - Farm Kürnberg|K_AgriLivestock|06-09-375-0016-0004|1|12,0565040463125|49,1559932342046||||0,0612||||||||||
Brüterei Süd - Farm Moosham|K_AgriLivestock|06-09-375-0016-0005|1|12,2755958320779|48,9223968006396||||0,0392||||||||||
Brüterei Süd - Farm Oberhub|K_AgriLivestock|06-09-375-0016-0006|1|12,0724830042196|49,1439298540121||||0,0612||||||||||
Buchmann GmbH,  Kartonfabrik .|B_Industry|07-05-8225833|2|7,93574138298409|49,2094423913026|0,112|||||||||||||
Buderus Edelstahl GmbH|B_Industry|06-00080400532|5|8,48922868629108|50,5749411800312|0,502|||||||||||||
Buderus Guss GmbH|B_Industry|06-00000700534|2|8,45113788881445|50,8891630967455||||||||||||||
Bunge Deutschland GmbH|B_Industry|06-08-6708382|1|8,4502832308703|49,5068628796306||0,446||||||||||||
Börde Broiler GmbH - Quedlinburg|K_AgriLivestock|12979|1|11,1270442985797|51,8076090637995||||0,0114||||||||||
Börde Puten Aufzucht Klein Oschersleben KG|K_AgriLivestock|11478|1|11,3510151017986|52,0115463308824||||0,0353||||||||||
CAE Geflügel GmbH|K_AgriLivestock|16-78-41300000029|1|10,8287643875817|50,8930525792305||||0,123||||||||||
CEMEX Zement GmbH|B_Industry|12-30640030000|2|13,8369291710776|52,4890692646813|1,39||1,27|0,0107|||1,03|||||||
CF Carbons GmbH|B_Industry|06-00457010412|1|8,53975039857687|50,0944715878678||||||||||||||
CIECH Energy Deutschland GmbH|A_PublicPower|14326|5|11,5733629940486|51,8636252679839|0,182|||||||||||||
CIECH Soda Deutschland GmbH & Co. KG|B_Industry|16584|1|11,564549152355|51,8897185010909|0,153|||||||||||||
CORDENKA GmbH & Co. KG|B_Industry|06-09-676-0081-0001|1|9,15018333240423|49,830463918813||5,56||||||||||||
CURRENTA GmbH & Co. OHG|A_PublicPower|06-05-100-9021016|5|6,66238453153661|51,3681904153109|0,426||0,273|||||||||||
CURRENTA GmbH & Co. OHG|A_PublicPower|06-05-300-9046797|5|6,98590089995226|51,0222086808895|0,303||0,294|||||||||||
CURRENTA GmbH & Co. OHG|A_PublicPower|06-05-300-9046923|5|6,83766703059999|51,0752300157442||||||||||||||
Calcis Lienen GmbH & Co.KG|B_Industry|06-05-500-0109203|2|7,96905593015357|52,1627406277131|0,115||||||0,971|||||||
Calcis Warstein GmbH & Co. KG|B_Industry|06-05-900-0840277|2|8,37499154090088|51,4361004123644||||||||||||||
Carbosulf Chemische Werke GmbH|B_Industry|06-05-300-0129899|1|6,94363374528436|51,0016051895681|||0,492|||||||||||
Cargill Deutschland GmbH|B_Industry|11652|1|11,8756738533342|51,9833148763735|0,155|||||||||||||
Cargill GmbH|B_Industry|03-01-01010891110|1|10,4260825185819|52,1922078093094||0,188||||||||||||
Carsten Hillmann Köster|K_AgriLivestock|03-65-25103900690|1|8,92449407908633|52,8395077389386||||0,0145||||||||||
Clarios Recycling GmbH|B_Industry|07-01-159368|2|7,38186786183661|50,6976666502003|||0,157||||||||0,11|||
Cobb Germany Avimex GmbH Großelterntierhaltung Wiesenena|K_AgriLivestock|14-82-56202720001|1|12,1812035481497|51,4574317512124||||0,0146||||||||||
Cobb Germany Avimex GmbH-Großelterntierhaltung (Radefeld 1)|K_AgriLivestock|14-82-54242790001|1|12,2960221026999|51,434729583245||||0,0182||||||||||
Cobb Germany Avimex GmbH-Großelterntierhaltung (Radefeld 3)|K_AgriLivestock|14-82-54242800000|1|12,2968563526242|51,4305935819504||||0,0182||||||||||
Compo Expert GmbH Werk Krefeld|B_Industry|06-05-100-0023253|1|6,67123966943617|51,3369522462857||||||||||||||
Constantia Ebert GmbH Constantia Ebert GmbH|E_Solvents|06-22340010414|1|8,21151751510655|50,0493998552125||0,119||||||||||||
Constantia Pirk GmbH & Co. KG|E_Solvents|06-09-374-0037-0001|1|12,1542581786889|49,638877614109||0,569||||||||||||
Covestro Deutschland AG|B_Industry|01-10-51011008963|1|9,18659604122204|53,9019608563248|0,107|||||||||||||
CropEnergies Bioethanol GmbH|B_Industry|16874|1|12,116388985444|51,0538529142495|0,305||0,329|||||||0,0145||||
Currenta GmbH & Co. OHG Entsorgungszentrum Bürrig|J_Waste|06-05-300-9970711|3|6,9682345553985|51,041409915131|0,175|||||||||||||
DAN-Mast Rubkow GmbH|K_AgriLivestock|13-60-80455|1|13,7257365972489|53,9386692665584||||0,0353||||||||||
DEMVA GmbH|K_AgriLivestock|17355|1|12,2542907955145|52,4466577323456||||0,0351||||||||||
DK Recycling und Roheisen GmbH|B_Industry|06-05-100-0388700|5|6,741991277819|51,4222829750554|||0,741||||||||0,921|||
DKC GmbH & Co. KG Klinker, Matthias|K_AgriLivestock|03-85-45300616750|1|7,92937327375505|52,6879479590629||||0,0128||||||||||
DODUCO Betreibergemeinschaftsgesellschaft bR|B_Industry|06-08-7056613|2|8,75184042485385|48,8870997351799||||||||||||||
DOW Deutschland AnlagenGmbH Werk Rheinmünster|B_Industry|06-08-3643689|1|8,01522457055684|48,7529974689561||0,118||||||||||||
DREWAG AMD EVC 2 EnergyCenter Wilschdorf|A_PublicPower|14-70-52316700250|5|13,7127734895108|51,126363888579|0,423|||||||||||||
DREWAG Gasturbinen-Heizkraftwerk Nossener Brücke|A_PublicPower|14-70-52316709002|5|13,7081862860674|51,0417895050094|0,464|||||||||||||
DS Schweinemast GmbH Dirk Schwertmann|K_AgriLivestock|03-92-46000500830|1|8,15043505957561|52,5683879317539||||0,0165||||||||||
DS Smith Paper Deutschland GmbH Werk Aschaffenburg|B_Industry|06-09-661-0020-0001|2|9,15584930543747|49,9881787406548||||||||||||||
DSM Nutritional Products GmbH|A_PublicPower|06-08-34064722|5|7,66222075618453|47,5501286610169||||||||||||||
Daikin Refrigerants Frankfurt GmbH|B_Industry|06-00412010412|1|8,54037710648109|50,0947259013349||||||||||||||
Daimler AG|E_Solvents|07-05-8188332|1|8,29303600014727|49,0472673215058||0,467||||||||||||
Daimler AG , Mercedes Benz Werk Bremen|E_Solvents|06-04-11/2047493/0/0|1|8,9077912976367|53,0640358437929||0,438||||||||||||
Daimler AG Mercedes Benz Werk Mannheim Eisengießer|B_Industry|06-08-9000003|2|8,4853694468668|49,5198509567913||||||||||||||
Daimler AG Mercedes Benz Werk Rastatt, PKW-Werk|E_Solvents|06-08-9058966|1|8,18323613109373|48,8592945623942||0,469||||||||||||
Daimler AG Mercedes-Benz Werk Düsseldorf|A_PublicPower|06-05-100-0154540|5|6,78638504034208|51,2544670404584||0,237||||||||||||
Daimler AG Mercedes-Benz Werk Sindelfingen|E_Solvents|06-08-1574906|1|8,99609953076212|48,6999362709104|0,147|0,465||||||||||||
Danpower Energie Service GmbH - Biomassekraftwerk (BMKW) Delitzsch|J_Waste|14-82-00001110000|3|12,3002315687807|51,5072553854653|0,31|||||||||||||
Danpower GmbH Biomasse-HKW Elsterwerda|J_Waste|12-40621060000|3|13,5047333343766|51,4660611425215|0,136|||||||||||||
Dassau, Andre|K_AgriLivestock|01-30-62090493812|1|10,1866327795443|53,6880159942246||||0,0104||||||||||
De Driemaat GbR|K_AgriLivestock|03-88-45600100470|1|7,17387213819053|52,2684912971476||||0,0228||||||||||
Demva GmbH|K_AgriLivestock|13-30-556|1|11,8990589144889|53,9208984561347||||0,0397||||||||||
Deponie Am Bastwald Entsorgungszentrum Vogelsberg|J_Waste|06-00001580535|1|9,36838965983728|50,7001048714164||||||||||||||
Deponie Beinrode / Deponie|J_Waste|16-30-30400024001|1|10,3135786243519|51,3627209117273||||||||||||||
Deponie Beselich|J_Waste|06-00815100533|1|8,14786019858362|50,4743219760528||||||||||||||
Deponie Burghof Vaihingen - Horrheim DKI; DKII|J_Waste|06-08-8596239|1|8,95881827031245|48,9856645846058||||||||||||||
Deponie Dorfweiher Hausmülldeponie|J_Waste|06-08-9307419|1|9,16185334607478|47,7015563107528||||||||||||||
Deponie Dyckerhoffbruch|J_Waste|06-59940860414|1|8,26365006174524|50,0445616985304||||||||||||||
Deponie Eberstadt DK0; DKII|J_Waste|06-08-8887489|1|9,33074501118727|49,1927869707896||||||||||||||
Deponie Eichholz Winnenden DKI|J_Waste|06-08-9022481|1|9,40771717215637|48,8615475799371||||||||||||||
Deponie Ellert Essingen DKII|J_Waste|06-08-8749949|1|9,99393690968796|48,8311490678809||||||||||||||
Deponie Groitzsch-Wischstauden|J_Waste|14-80-56170730003|1|12,3010630320704|51,163769340316||||||||||||||
Deponie Großlöbichau|J_Waste|16-30-31400201002|1|11,6927534092815|50,9187485553625||||||||||||||
Deponie Hailer (Main-Kinzig-Kreis Eigenbetrieb Abfallwirtschaft)|J_Waste|06-00373020435|1|9,1786665502232|50,1786283203565||||||||||||||
Deponie MTW|J_Waste|13-40-1300668|1|11,4325208340024|53,9002594288308||||||||||||||
Deponie Mannheim|J_Waste|06-08-9537252|1|8,45679470848908|49,5275548525191||||||||||||||
Deponie Mihla-Buchenau|J_Waste|16-30-32400027002|1|10,2986071302392|51,0618043523635||||||||||||||
Deponie München NORDWEST|J_Waste|06-09-100-8012-0001|1|11,6235783544352|48,2265969101734||||||||||||||
Deponie Plau|J_Waste|13-40-4361|1|12,2678558911849|53,4451152883728||||||||||||||
Deponie Reutehau Ellwangen-Killingen DKII|J_Waste|06-08-9749667|1|10,2355017996785|48,9119280097477||||||||||||||
Deponie Reutlingen Schinderteich|J_Waste|06-08-8944849|1|9,15797486355664|48,4646743733813||||||||||||||
Deponie Schwaigern-Stetten DK0; DKII|J_Waste|06-08-9472002|1|9,01889658521618|49,1135239813062||||||||||||||
Deponie Tuningen Hausmülldeponie|J_Waste|06-08-9600957|1|8,63693244668898|48,0328307690242||||||||||||||
Deponie Warden AWA Entsorgung GmbH|J_Waste|06-05-300-0396185|1|6,2286354465461|50,8549155716205||||||||||||||
Deponie Watenbüttel Stadt Braunschweig|J_Waste|03-01-01012678650|1|10,4498327838602|52,3132198214187||||||||||||||
Deutsche Benkert GmbH & Co. KG|E_Solvents|06-05-916-0157957|1|7,24256083869511|51,5491853455248||0,366||||||||||||
Deutsche Frühstücksei Anlagenverwaltung GmbH & Co. KG|K_AgriLivestock|03-91-46000702141|1|8,28449721196297|52,4166531585286||||0,0109||||||||||
Deutsche Frühstücksei Anlagenverwaltung GmbH & Co. KG|K_AgriLivestock|03-91-46000702142|1|8,22671688132282|52,4314743770269||||0,024||||||||||
Deutsche Frühstücksei Anlagenverwaltung GmbH & Co. KG|K_AgriLivestock|03-91-46000702143|1|8,03200193338479|52,5749949224194||||0,0234||||||||||
Deutsche Frühstücksei Betriebsgesellschaft mbH & Co.KG|K_AgriLivestock|03-91-45901026410|1|8,00981833936451|52,5332396143267||||0,0148||||||||||
Deutsche Frühstücksei GmbH|K_AgriLivestock|06-05-554-0144328|1|7,20483106449824|52,1183992298491||||0,0195||||||||||
Deutsche Frühstücksei GmbH und Co KG|K_AgriLivestock|03-92-46000723290|1|8,04657191446185|52,539385170002||||0,0362||||||||||
Deutsche Frühstücksei GmbH und Co KG|K_AgriLivestock|03-92-46000135760|1|8,10949923248913|52,7302442862654||||0,011||||||||||
Deutsche Giessdraht GmbH|B_Industry|06-05-100-0250990|2|6,26522520673862|51,827667494287|||||||0,81|||||||
Deutsche Infineum GmbH & Co. KG|B_Industry|06-05-300-9024240|1|6,93302547768724|51,0161136322781||||||||||||||
Deutsche Marken-Ei GmbH & Co.KG Niederlassung Wandersleben|K_AgriLivestock|16-78-41300000094|1|10,8685953582852|50,8916481817851||||0,0282||||||||||
